summary
Add unit tests for the OJB store iterator
Some important unit tests are missing
com.ibatis.common.jdbc.ScriptRunner class contains many bugs
UserCookieData lacks equals() and hashcode() 
Don't allow  some operations on the Graffito Master Store
Warnings found when compiling on Linux AMD64
colspan and rowspan not working in XXE
groundless unit tests suite.
Null Pointer when creating a SOAPEnvelope with a SOAP message containing a SOAP Fault
WSDL Display Fails for Deployed Web Service
Attachment code generated unneccessarily
Flawed SQL clause for moving users in 097-to-098-upgrade script.
DoubleSupport::toDouble fails to deliver expected result.
Janino compiler tag library
PaginatedDataList not Serializable
